Date,Home Team,Away Team,Home Score,Away Score,Winner
08-12-2016,Memphis Grizzlies,Portland Trail Blazers,88,86,Home
08-12-2016,New Orleans Pelicans,Philadelphia 76ers,88,99,Away
08-12-2016,Utah Jazz,Golden State Warriors,99,106,Away
08-12-2016,Chicago Bulls,San Antonio Spurs,95,91,Home
09-12-2016,Charlotte Hornets,Orlando Magic,109,88,Home
09-12-2016,Cleveland Cavaliers,Miami Heat,114,84,Home
09-12-2016,Boston Celtics,Toronto Raptors,94,101,Away
09-12-2016,Milwaukee Bucks,Atlanta Hawks,110,114,Away
09-12-2016,Oklahoma City Thunder,Houston Rockets,99,102,Away
09-12-2016,Minnesota Timberwolves,Detroit Pistons,90,117,Away
09-12-2016,Dallas Mavericks,Indiana Pacers,111,103,Home
09-12-2016,Los Angeles Lakers,Phoenix Suns,115,119,Away
09-12-2016,Sacramento Kings,New York Knicks,100,103,Away
10-12-2016,Washington Wizards,Milwaukee Bucks,110,105,Home
10-12-2016,Orlando Magic,Denver Nuggets,113,121,Away
10-12-2016,Indiana Pacers,Portland Trail Blazers,118,111,Home
10-12-2016,Cleveland Cavaliers,Charlotte Hornets,116,105,Home
10-12-2016,Chicago Bulls,Miami Heat,105,100,Home
10-12-2016,Memphis Grizzlies,Golden State Warriors,110,89,Home
10-12-2016,Houston Rockets,Dallas Mavericks,109,87,Home
10-12-2016,San Antonio Spurs,Brooklyn Nets,130,101,Home
10-12-2016,Utah Jazz,Sacramento Kings,104,84,Home
10-12-2016,LA Clippers,New Orleans Pelicans,133,105,Home
11-12-2016,Detroit Pistons,Philadelphia 76ers,79,97,Away
11-12-2016,Oklahoma City Thunder,Boston Celtics,99,96,Home
11-12-2016,Minnesota Timberwolves,Golden State Warriors,108,116,Away
11-12-2016,Phoenix Suns,New Orleans Pelicans,119,120,Away
11-12-2016,Los Angeles Lakers,New York Knicks,112,118,Away
12-12-2016,Indiana Pacers,Charlotte Hornets,110,94,Home
12-12-2016,Toronto Raptors,Milwaukee Bucks,122,100,Home
12-12-2016,Miami Heat,Washington Wizards,112,101,Home
12-12-2016,Houston Rockets,Brooklyn Nets,122,118,Home
12-12-2016,Dallas Mavericks,Denver Nuggets,112,92,Home
12-12-2016,LA Clippers,Portland Trail Blazers,121,120,Home
12-12-2016,Sacramento Kings,Los Angeles Lakers,116,92,Home
13-12-2016,Cleveland Cavaliers,Memphis Grizzlies,103,86,Home
13-12-2016,Atlanta Hawks,Orlando Magic,120,131,Away
13-12-2016,Chicago Bulls,Minnesota Timberwolves,94,99,Away
13-12-2016,New Orleans Pelicans,Golden State Warriors,109,113,Away
13-12-2016,Phoenix Suns,New York Knicks,113,111,Home
13-12-2016,Portland Trail Blazers,Oklahoma City Thunder,114,95,Home
14-12-2016,Philadelphia 76ers,Toronto Raptors,114,123,Away
14-12-2016,Washington Wizards,Charlotte Hornets,109,106,Home
14-12-2016,Orlando Magic,LA Clippers,108,113,Away
14-12-2016,Miami Heat,Indiana Pacers,95,89,Home
14-12-2016,Brooklyn Nets,Los Angeles Lakers,107,97,Home
14-12-2016,Memphis Grizzlies,Cleveland Cavaliers,93,85,Home
14-12-2016,Houston Rockets,Sacramento Kings,132,98,Home
14-12-2016,Dallas Mavericks,Detroit Pistons,85,95,Away
14-12-2016,Utah Jazz,Oklahoma City Thunder,109,89,Home
14-12-2016,San Antonio Spurs,Boston Celtics,108,101,Home
15-12-2016,Milwaukee Bucks,Chicago Bulls,108,97,Home
15-12-2016,New Orleans Pelicans,Indiana Pacers,102,95,Home
15-12-2016,Denver Nuggets,Portland Trail Blazers,132,120,Home
15-12-2016,Phoenix Suns,San Antonio Spurs,92,107,Away
15-12-2016,Golden State Warriors,New York Knicks,103,90,Home
16-12-2016,Washington Wizards,Detroit Pistons,122,108,Home
16-12-2016,Orlando Magic,Brooklyn Nets,118,111,Home
16-12-2016,Boston Celtics,Charlotte Hornets,96,88,Home
16-12-2016,Toronto Raptors,Atlanta Hawks,121,125,Away
16-12-2016,Chicago Bulls,Milwaukee Bucks,69,95,Away
16-12-2016,Memphis Grizzlies,Sacramento Kings,92,96,Away
16-12-2016,Houston Rockets,New Orleans Pelicans,122,100,Home
16-12-2016,Philadelphia 76ers,Los Angeles Lakers,89,100,Away
16-12-2016,Miami Heat,LA Clippers,98,102,Away
16-12-2016,Utah Jazz,Dallas Mavericks,103,100,Home
17-12-2016,Oklahoma City Thunder,Phoenix Suns,114,101,Home
17-12-2016,Detroit Pistons,Indiana Pacers,90,105,Away
17-12-2016,Atlanta Hawks,Charlotte Hornets,99,107,Away
17-12-2016,Cleveland Cavaliers,Los Angeles Lakers,119,108,Home
17-12-2016,Minnesota Timberwolves,Houston Rockets,109,111,Away
17-12-2016,Denver Nuggets,New York Knicks,127,114,Home
17-12-2016,Golden State Warriors,Portland Trail Blazers,135,90,Home
18-12-2016,Washington Wizards,LA Clippers,117,110,Home
18-12-2016,Memphis Grizzlies,Utah Jazz,73,82,Away
18-12-2016,Philadelphia 76ers,Brooklyn Nets,108,107,Home
18-12-2016,Orlando Magic,Toronto Raptors,79,109,Away
18-12-2016,Miami Heat,Boston Celtics,95,105,Away
18-12-2016,Dallas Mavericks,Sacramento Kings,99,79,Home
18-12-2016,San Antonio Spurs,New Orleans Pelicans,113,100,Home
19-12-2016,Indiana Pacers,Washington Wizards,107,105,Home
19-12-2016,Chicago Bulls,Detroit Pistons,113,82,Home
19-12-2016,Oklahoma City Thunder,Atlanta Hawks,108,110,Away
19-12-2016,Minnesota Timberwolves,Phoenix Suns,115,108,Home
19-12-2016,Denver Nuggets,Dallas Mavericks,117,107,Home
20-12-2016,Philadelphia 76ers,New Orleans Pelicans,93,108,Away
20-12-2016,Charlotte Hornets,Los Angeles Lakers,117,113,Home
20-12-2016,Toronto Raptors,Brooklyn Nets,116,104,Home
20-12-2016,New York Knicks,Indiana Pacers,118,111,Home
20-12-2016,Miami Heat,Orlando Magic,130,136,Away
